year,sex,age,edu_1,employed
2021,males,30-34,lower_secondary,1800
2021,males,35-39,lower_secondary,3100
2021,males,40-44,lower_secondary,4100
2021,males,45-49,lower_secondary,5200
2021,males,50-54,lower_secondary,7300
2021,males,55-59,lower_secondary,13300
2021,males,60-64,lower_secondary,13900
2021,males,65-69,lower_secondary,10400
2021,males,70_and_over,lower_secondary,7600
2021,males,15-19,secondary,4500
2021,males,20-24,secondary,6600
2021,males,25-29,secondary,7300
2021,males,30-34,secondary,9900
2021,males,35-39,secondary,12100
2021,males,40-44,secondary,10700
2021,males,45-49,secondary,15500
2021,males,50-54,secondary,20000
2021,males,55-59,secondary,24100
2021,males,60-64,secondary,24700
2021,males,65-69,secondary,16700
2021,males,70_and_over,secondary,9300
2021,males,15-19,post-sec,8900
2021,males,20-24,post-sec,20400
2021,males,25-29,post-sec,12600
2021,males,30-34,post-sec,14300
2021,males,35-39,post-sec,12600
2021,males,40-44,post-sec,11000
2021,males,45-49,post-sec,16600
2021,males,50-54,post-sec,13200
2021,males,55-59,post-sec,15600
2021,males,60-64,post-sec,14800
2021,males,65-69,post-sec,8600
2021,males,70_and_over,post-sec,5000
2021,males,15-19,dip_and_professional_qual,1300
2021,males,20-24,dip_and_professional_qual,31200
2021,males,25-29,dip_and_professional_qual,30100
2021,males,30-34,dip_and_professional_qual,35900
2021,males,35-39,dip_and_professional_qual,30300
2021,males,40-44,dip_and_professional_qual,31700
2021,males,45-49,dip_and_professional_qual,28200
2021,males,50-54,dip_and_professional_qual,20000
2021,males,55-59,dip_and_professional_qual,16700
2021,males,60-64,dip_and_professional_qual,13300
2021,males,65-69,dip_and_professional_qual,6600
2021,males,70_and_over,dip_and_professional_qual,3300
2021,males,15-19,degree,-
2021,males,20-24,degree,3300
2021,males,25-29,degree,63000
2021,males,30-34,degree,82500
2021,males,35-39,degree,81900
2021,males,40-44,degree,78900
2021,males,45-49,degree,65200
2021,males,50-54,degree,43800
2021,males,55-59,degree,31300
2021,males,60-64,degree,18300
2021,males,65-69,degree,10000
2021,males,70_and_over,degree,5900
2021,females,15-19,primary_and_below,200
2021,females,20-24,primary_and_below,300
2021,females,25-29,primary_and_below,600
2021,females,30-34,primary_and_below,800
2021,females,35-39,primary_and_below,1100
2021,females,40-44,primary_and_below,2500
2021,females,45-49,primary_and_below,4700
2021,females,50-54,primary_and_below,7500
2021,females,55-59,primary_and_below,14600
2021,females,60-64,primary_and_below,17800
2021,females,65-69,primary_and_below,15400
2021,females,70_and_over,primary_and_below,14400
2021,females,15-19,lower_secondary,200
2021,females,20-24,lower_secondary,200
2021,females,25-29,lower_secondary,700
2021,females,30-34,lower_secondary,1500
2021,females,35-39,lower_secondary,2000
2021,females,40-44,lower_secondary,3700
2021,females,45-49,lower_secondary,5500
2021,females,50-54,lower_secondary,5800
2021,females,55-59,lower_secondary,8900
2021,females,60-64,lower_secondary,8900
2021,females,65-69,lower_secondary,5100
2021,females,70_and_over,lower_secondary,3400
2021,females,15-19,secondary,4800
2021,females,20-24,secondary,3800
2021,females,25-29,secondary,3800
2021,females,30-34,secondary,7800
2021,females,35-39,secondary,11200
2021,females,40-44,secondary,13700
2021,females,45-49,secondary,20300
2021,females,50-54,secondary,23600
2021,females,55-59,secondary,28600
2021,females,60-64,secondary,25600
2021,females,65-69,secondary,14200
2021,females,70_and_over,secondary,6100
2021,females,15-19,post-sec,4400
2021,females,20-24,post-sec,13000
2021,females,25-29,post-sec,6800
2021,females,30-34,post-sec,9400
2021,females,35-39,post-sec,8100
2021,females,40-44,post-sec,7700
2021,females,45-49,post-sec,10300
2021,females,50-54,post-sec,11100
2021,females,55-59,post-sec,11200
2021,females,60-64,post-sec,11300
2021,females,65-69,post-sec,5700
2021,females,70_and_over,post-sec,3200
2021,females,15-19,dip_and_professional_qual,1400
2021,females,20-24,dip_and_professional_qual,23600
2021,females,25-29,dip_and_professional_qual,25500
2021,females,30-34,dip_and_professional_qual,29900
2021,females,35-39,dip_and_professional_qual,29300
2021,females,40-44,dip_and_professional_qual,31800
2021,females,45-49,dip_and_professional_qual,26400
2021,females,50-54,dip_and_professional_qual,18800
2021,females,55-59,dip_and_professional_qual,13400
2021,females,60-64,dip_and_professional_qual,8400
2021,females,65-69,dip_and_professional_qual,3900
2021,females,70_and_over,dip_and_professional_qual,1500
2021,females,15-19,degree,-
